android id, android identifier, unique android identifier, device id, android device identifier
account number, account ID, account code, account reference, account identifier
account, user account, profile, personal account, member account
photo, picture, image, photograph, snapshot
identity, identification, personal identity, individuality, selfhood
diagnosis and treatment, medical diagnosis, therapy, medical care, medical examination
documents, paperwork, records, files, documentation
rank, position, status, standing, hierarchy
position, job, role, employment, work
profession, occupation, vocation, career, calling
fingerprint, biometric print, fingerprint pattern, dactylogram, fingerprint impression
address, location, residence, place, site
qualification, credentials, certification, competence, skill
religious beliefs, faith, spirituality, religious convictions, religious faith
footprints, traces, tracks, marks, imprints
organize, arrange, sort, systematize, structure
nick name, nickname, alias, handle, screen name
license plate, vehicle registration plate, number plate, car tag, registration number
qq, instant messaging platform, Chinese social media platform, QQ platform
education, schooling, learning, instruction, academic training
sex, gender, biological sex, sexual identity, gender identity
